icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
22121,Marjorie Taylor Greene,Republican,Georgia,-85.095,34.433
20322,Ed Case,Democrat,Hawaii,-157.907,21.368
22128,Kai Kahele,Democrat,Hawaii,-156.291,20.208
22124,Ashley Hinson,Republican,Iowa,-91.892,42.525
22139,Mariannette Miller-Meeks,Republican,Iowa,-92.149,41.208
21902,Cindy Axne,Democrat,Iowa,-94.637,41.204
22113,Randy Feenstra,Republican,Iowa,-94.641,42.626
21920,Russ Fulcher,Republican,Idaho,-116.033,45.363
29910,Michael K. Simpson,Republican,Idaho,-113.362,43.469
29346,Bobby L. Rush,Democrat,Illinois,-87.834,41.544
21371,Robin L. Kelly,Democrat,Illinois,-87.796,41.258
22144,DMarie Newman,Democrat,Illinois,-87.896,41.678
21921,Jesús G. Garcia,Democrat,Illinois,-87.765,41.872
20954,Mike Quigley,Democrat,Illinois,-87.835,41.932
21906,Sean Casten,Democrat,Illinois,-88.179,42.028
29717,Danny K. Davis,Democrat,Illinois,-87.737,41.864
21730,Raja Krishnamoorthi,Democrat,Illinois,-88.097,42.008
29911,Janice D. Schakowsky,Democrat,Illinois,-87.81,42.052
21326,Bradley Scott Schneider,Democrat,Illinois,-87.938,42.279
20749,Bill Foster,Democrat,Illinois,-88.146,41.644
21519,Mike Bost,Republican,Illinois,-89.432,37.99
21328,Rodney Davis,Republican,Illinois,-89.519,39.512
21979,Lauren Underwood,Democrat,Illinois,-88.432,42.028
22138,Mary Miller,Republican,Illinois,-88.436,38.911
21128,Adam Kinzinger,Republican,Illinois,-88.8,41.395
21329,Cheri Bustos,Democrat,Illinois,-90.21,41.39
21562,Darin LaHood,Republican,Illinois,-90.076,40.23
22142,Frank J. Mrvan,Democrat,Indiana,-87.158,41.458
22171,,Vacant,Indiana,-86.233,41.244
21702,Jim Banks,Republican,Indiana,-85.231,41.102
21903,James R. Baird,Republican,Indiana,-86.862,40.384
